level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
2	1	19	0	0	0	18	28	1472	173	-1	
3	1	19	1	0	0	18	28	1472	173	-1	
4	1	19	1	1	0	18	28	1472	125	-1	
5	1	19	1	1	1	18	28	1472	125	95	  
4	1	19	1	2	0	18	153	14	48	-1	
5	1	19	1	2	1	18	153	14	48	95	 
2	1	20	0	0	0	413	36	44	16	-1	
3	1	20	1	0	0	413	36	44	16	-1	
4	1	20	1	1	0	413	36	44	16	-1	
5	1	20	1	1	1	413	36	44	16	17	ITippn
2	1	21	0	0	0	460	154	442	6	-1	
3	1	21	1	0	0	460	154	442	6	-1	
4	1	21	1	1	0	460	154	442	6	-1	
5	1	21	1	1	1	460	154	442	6	95	 
2	1	22	0	0	0	1213	153	79	12	-1	
3	1	22	1	0	0	1213	153	79	12	-1	
4	1	22	1	1	0	1213	153	79	12	-1	
5	1	22	1	1	1	1213	148	29	24	71	mium
5	1	22	1	1	2	1243	153	49	12	57	didnt
2	1	23	0	0	0	395	157	571	27	-1	
3	1	23	1	0	0	395	157	571	27	-1	
4	1	23	1	1	0	395	157	571	27	-1	
5	1	23	1	1	1	395	164	45	10	0	[elb
5	1	23	1	1	2	439	157	21	27	0	Eti
5	1	23	1	1	3	505	157	31	27	20	[360]
5	1	23	1	1	4	587	164	46	10	0	Etel
5	1	23	1	1	5	636	164	4	10	0	s
5	1	23	1	1	6	692	164	60	10	0	MELL
5	1	23	1	1	7	802	157	35	27	7	[dal
5	1	23	1	1	8	838	157	14	27	0	lel
5	1	23	1	1	9	902	161	64	13	96	SEGÍTSÉG
2	1	24	0	0	0	337	208	819	5	-1	
3	1	24	1	0	0	337	208	819	5	-1	
4	1	24	1	1	0	337	208	819	5	-1	
5	1	24	1	1	1	337	208	819	5	95	 
2	1	25	0	0	0	289	213	52	242	-1	
3	1	25	1	0	0	289	213	52	242	-1	
4	1	25	1	1	0	289	213	52	242	-1	
5	1	25	1	1	1	289	213	52	242	95	  
2	1	26	0	0	0	911	254	23	11	-1	
3	1	26	1	0	0	911	254	23	11	-1	
4	1	26	1	1	0	911	254	23	11	-1	
5	1	26	1	1	1	911	254	23	11	95	 
2	1	27	0	0	0	367	254	777	72	-1	
3	1	27	1	0	0	367	254	772	33	-1	
4	1	27	1	1	0	367	254	767	13	-1	
5	1	27	1	1	1	367	254	117	13	0	ELLENE
5	1	27	1	1	2	488	255	42	10	0	ESEL
5	1	27	1	1	3	538	255	28	10	4	NEL
5	1	27	1	1	4	566	247	31	28	0	ETC
5	1	27	1	1	5	602	255	101	12	10	ELEMET
5	1	27	1	1	6	705	255	19	10	0	SS
5	1	27	1	1	7	750	255	117	10	0	TES
5	1	27	1	1	8	870	258	4	7	0	e
5	1	27	1	1	9	879	255	31	12	7	ELET
